0.05,12,9,3740291162889363742,zombies,454
0.05,12,6,784926344444311918,human,547
0.05,12,11,3948339518975490239,human,244
0.05,12,10,5474692842652371508,zombies,336
0.05,12,16,531981907516122122,human,115
0.05,12,14,8759617236014386549,human,237
0.05,12,22,3277041551086977744,human,39
0.05,12,5,2175607353975717164,zombies,572
0.05,12,20,7563142522510187494,zombies,228
0.05,12,18,8192164711586127521,zombies,213
0.05,12,15,2965267999419205679,human,634
0.05,12,21,3263852406948047481,human,136
0.05,12,19,1223164142304004132,human,218
0.05,12,17,8877486650143889462,zombies,597
0.15,0,3,182756557574154721,human,36
0.05,12,23,1143232696643422351,human,493
0.15,0,0,5857566415354574153,human,76
0.05,12,24,1093765015420150476,zombies,534
0.15,0,2,8328916271808390417,human,87
0.15,0,9,5784832851700854276,human,31
0.15,0,7,3452781829644917072,human,200
0.15,0,4,7737559657830089043,human,226
0.15,0,1,5020308541260356500,human,364
0.15,0,5,4304693219076770159,human,371
0.15,0,8,2957321971801464265,human,144
0.15,0,12,5930064584101003359,human,67
0.15,0,6,6585123452866252385,human,354
0.15,0,14,1383805510915188197,zombies,238
0.15,0,15,538646715435622082,human,391
0.15,0,16,5753193517157183919,human,91
0.15,0,11,8983390125429223886,zombies,305
0.15,0,13,3918330618798182184,human,204
0.15,0,18,4141893523981925948,human,138
0.15,0,22,7555638648100612086,human,64
0.15,0,20,6037409847358940667,human,110
0.15,0,19,6165518768340825220,human,166
0.15,0,17,2432193444391800245,zombies,304
0.15,0,10,1674012912986653033,human,697
0.15,3,4,4613352314393947827,human,40
0.15,3,3,1290020762293817742,human,87
0.15,3,1,6880010279636098511,human,141
0.15,0,24,2479686561172886063,zombies,470
0.15,0,23,5583796972571043631,human,630
0.15,0,21,4565349140072510561,human,359
0.15,3,9,5218002944998110114,human,39
0.15,3,0,251969396100072365,human,257
0.15,3,5,8013117315189437224,zombies,366
0.15,3,2,266746306969048195,human,509
0.15,3,10,336801481510274845,human,109
0.15,3,15,8693949662481367079,human,21
0.15,3,8,8868578014056370880,zombies,393
0.15,3,7,8192011785458456076,human,367
0.15,3,6,2469409696305997476,human,357
0.15,3,12,5118287417847098559,zombies,209
0.15,3,11,8787269157985284892,human,181
0.15,3,14,2705557079268239696,human,132
0.15,3,13,5952349399545349902,human,248
0.15,3,18,3330303260518010485,human,66
0.15,3,16,8740188213886317994,human,176
0.15,3,21,2541626877815239068,zombies,213
0.15,3,20,8409161712656571054,human,135
0.15,3,17,8407199302870126368,human,207
0.15,3,23,7396380304789673747,human,562
0.15,3,19,432335290593399734,human,290
0.15,6,1,5595384805202774451,human,157
0.15,3,24,5731552643009793525,human,397
0.15,6,0,7542313367233045334,human,837
0.15,6,3,1416014361586470067,zombies,370
0.15,6,8,2630249069433279614,human,35
0.15,3,22,3809481296255277949,human,669
0.15,6,2,4586525912592180127,human,429
0.15,6,7,5829385728382025965,human,218
0.15,6,5,1314809955027664990,zombies,325
0.15,6,10,1050904111068506239,human,63
0.15,6,4,7856857621671798356,human,884
0.15,6,11,2800427776897668583,zombies,187
0.15,6,6,1513095611270112465,zombies,509
0.15,6,9,8441919866379180536,zombies,249
0.15,6,12,3157917291919684563,zombies,494
0.15,6,15,3170784650077737523,human,231
0.15,6,14,5579933426870848380,zombies,514
0.15,6,13,6942947652541716818,human,427
0.15,6,17,5283398193373501394,zombies,513
0.15,6,18,2733786620999358213,zombies,358
0.15,6,16,2804179373598622821,human,228
0.15,6,19,4994671434024118203,human,168
0.15,6,24,7615613429801465716,human,28
0.15,6,21,5654259094435083102,human,183
0.15,6,23,4927118889642434351,zombies,318
0.15,9,4,8318491001396654921,human,101
0.15,9,5,8502696450890696872,human,61
0.15,6,20,1656944290218620656,human,330
0.15,6,22,5249401761537147516,zombies,509
0.15,9,3,3673812202269183934,human,650
0.15,9,0,7828713365837356194,human,458
0.15,9,1,5490478581042637358,zombies,481
0.15,9,2,5363624079102732223,human,418
0.15,9,9,8424072507765172473,zombies,173
